ID,Item_Outlet_Sales
1,3735.138
2,443.4228
3,2097.27
4,732.38
5,994.7052
6,556.6088
7,343.5528
8,4022.7636
9,1076.5986
10,4710.535
11,1516.0266
12,2187.153
13,1589.2646
14,2145.2076
15,1977.426
16,1547.3192
17,1621.8888
18,718.3982
19,2303.668
20,2748.4224
21,3775.086
22,4064.0432
23,1587.2672
24,214.3876
25,4078.025
26,838.908
27,1065.28
28,308.9312
29,178.4344
30,125.8362
31,163.7868
32,2741.7644
33,3068.0064
34,2174.5028
35,2085.2856
36,3791.0652
37,2797.6916
38,1609.9044
39,388.1614
40,2180.495
41,3435.528
42,2150.534
43,2527.3768
44,6768.5228
45,373.5138
46,358.2004
47,2428.8384
48,5815.0972
49,2576.646
50,780.3176
51,3134.5864
52,850.8924
53,810.9444
54,3121.2704
55,4815.0656
56,6258.52
57,2117.244
58,796.9626
59,4910.275
60,892.172
61,3185.1872
62,1062.6168
63,484.7024
64,147.8076
65,2543.356
66,184.4266
67,4865.6664
68,1118.544
69,2302.3364
70,2027.361
71,3435.528
72,599.22
73,4604.6728
74,2285.0256
75,5580.7356
76,2290.352
77,1207.0954
78,643.1628
79,1587.933
80,5305.0944
81,1697.79
82,1427.4752
83,4693.89
84,583.2408
85,3091.9752
86,2479.4392
87,2716.464
88,3285.723
89,661.8052
90,1523.3504
91,369.519
92,690.4346
93,1381.535
94,622.523
95,1274.3412
96,487.3656
97,1231.73
98,3755.112
99,4363.6532
100,1314.2892
101,1805.6496
102,2854.9504
103,3896.2616
104,667.7974
105,3185.853
106,2247.7408
107,1794.331
108,2530.7058
109,679.116
110,812.276
111,699.09
112,2732.4432
113,176.437
114,4097.3332
115,3151.8972
116,5942.265
117,4843.695
118,2542.0244
119,2552.6772
120,1141.847
121,680.4476
122,2085.9514
123,186.424
124,3036.048
125,866.8716
126,868.869
127,1137.1864
128,928.1252
129,762.341
130,707.0796
131,7968.2944
132,1438.128
133,6976.2524
134,101.2016
135,952.094
136,1969.4364
137,5262.4832
138,1314.2892
139,535.3032
140,263.6568
141,1402.1748
142,1693.7952
143,2143.876
144,2676.516
145,905.488
146,7370.406
147,6301.1312
148,1597.92
149,529.311
150,1969.4364
151,1034.6532
152,1794.331
153,2768.3964
154,898.83
155,3169.208
156,3589.9936
157,262.3252
158,1910.1802
159,1701.7848
160,2471.4496
161,1331.6
162,1808.9786
163,3315.684
164,2618.5914
165,2769.728
166,5375.0034
167,2838.9712
168,1743.0644
169,5555.4352
170,619.194
171,2120.573
172,3823.0236
173,1360.2294
174,3969.4996
175,345.5502
176,585.2382
177,1010.6844
178,161.1236
179,42.6112
180,3010.7476
181,6024.1584
182,988.713
183,239.688
184,1374.2112
185,4739.8302
186,1012.016
187,657.8104
188,778.986
189,2336.958
190,2233.0932
191,1661.8368
192,4745.8224
193,3124.5994
194,467.3916
195,5070.7328
196,540.6296
197,992.7078
198,6008.845
199,2105.2596
200,5359.69
201,745.696
202,3275.736
203,1701.7848
204,6704.606
205,4119.9704
206,327.5736
207,780.9834
208,3630.6074
209,317.5866
210,231.6984
211,133.16
212,5650.6446
213,2636.568
214,1272.3438
215,324.9104
216,131.1626
217,260.9936
218,260.9936
219,3690.5294
220,1139.1838
221,1995.4026
222,1416.8224
223,265.6542
224,3552.7088
225,2406.867
226,213.056
227,2956.152
228,153.134
229,1649.8524
230,3101.2964
231,4769.1254
232,3435.528
233,1133.8574
234,2603.278
235,605.878
236,2293.0152
237,119.1782
238,1929.4884
239,2074.6328
240,241.6854
241,6795.1548
242,639.168
243,3248.4382
244,7222.5984
245,3225.1352
246,3755.112
247,3440.8544
248,974.7312
249,535.969
250,5259.82
251,306.268
252,1779.0176
253,759.012
254,1877.556
255,3779.0808
256,41.2796
257,259.662
258,193.082
259,1687.803
260,4655.9394
261,4950.8888
262,1418.154
263,1225.072
264,5359.69
265,1764.37
266,2553.343
267,1006.6896
268,1081.925
269,308.9312
270,2516.724
271,1428.141
272,2093.2752
273,1929.4884
274,5829.7448
275,2082.6224
276,7298.4996
277,7452.9652
278,450.0808
279,500.6816
280,3668.558
281,736.3748
282,6088.0752
283,2125.2336
284,2277.036
285,573.2538
286,2267.049
287,296.9468
288,559.272
289,5559.43
290,1237.7222
291,569.259
292,3866.9664
293,1379.5376
294,1869.5664
295,5499.508
296,925.462
297,583.2408
298,1418.154
299,942.7728
300,2364.9216
301,3251.7672
302,254.3356
303,5895.659
304,1134.5232
305,7696.648
306,2775.7202
307,5317.0788
308,874.8612
309,1039.9796
310,3038.0454
311,3848.324
312,527.3136
313,2390.8878
314,1677.816
315,801.6232
316,1267.0174
317,886.8456
318,452.744
319,3877.6192
320,4414.254
321,5448.9072
322,4950.8888
323,958.752
324,1956.1204
325,2404.2038
326,387.4956
327,994.7052
328,1754.383
329,3340.9844
330,3918.8988
331,306.268
332,4278.4308
333,4425.5726
334,9267.936
335,229.701
336,2055.9904
337,3339.6528
338,6410.3224
339,1992.0736
340,2870.9296
341,2807.0128
342,539.298
343,4377.635
344,2716.464
345,383.5008
346,703.0848
347,1937.478
348,3307.6944
349,3142.576
350,2554.0088
351,1869.5664
352,5494.8474
353,6093.4016
354,2586.633
355,1255.6988
356,4093.3384
357,3163.8816
358,5033.448
359,1137.1864
360,2696.49
361,898.83
362,2756.412
363,878.856
364,659.142
365,182.4292
366,3610.6334
367,5153.292
368,2588.6304
369,1286.3256
370,1230.3984
371,1733.7432
372,384.8324
373,3969.4996
374,7763.228
375,809.6128
376,1253.7014
377,5715.2272
378,1464.76
379,3251.1014
380,4274.436
381,5375.0034
382,1318.284
383,2251.7356
384,1176.4686
385,3523.4136
386,610.5386
387,1237.7222
388,474.0496
389,717.7324
390,2580.6408
391,2552.6772
392,3914.904
393,796.9626
394,916.1408
395,3259.7568
396,1677.816
397,3707.1744
398,2954.1546
399,2652.5472
400,1037.3164
401,717.7324
402,426.112
403,6911.004
404,3811.0392
405,2277.036
406,48.6034
407,5770.4886
408,690.4346
409,1890.2062
410,3195.84
411,1504.708
412,711.0744
413,4311.055
414,521.3214
415,829.5868
416,1571.288
417,2403.538
418,83.8908
419,844.2344
420,2940.1728
421,291.6204
422,3259.7568
423,3415.554
424,5624.6784
425,6687.961
426,5642.655
427,4943.565
428,3135.2522
429,796.9626
430,848.895
431,38.6164
432,4997.4948
433,588.5672
434,372.848
435,155.1314
436,3038.7112
437,1587.2672
438,687.1056
439,1929.4884
440,3600.6464
441,2181.1608
442,3428.2042
443,623.1888
444,2133.2232
445,3401.5722
446,1289.6546
447,50.6008
448,790.9704
449,3147.9024
450,2486.763
451,1139.8496
452,1816.3024
453,199.74
454,978.726
455,2683.174
456,2897.5616
457,9158.079
458,1957.452
459,1296.3126
460,2528.7084
461,284.2966
462,759.012
463,1787.673
464,2431.5016
465,4466.1864
466,2048.6666
467,1940.807
468,2067.309
469,2663.2
470,1146.5076
471,3448.844
472,1665.8316
473,8114.7704
474,1713.7692
475,810.9444
476,1193.1136
477,856.8846
478,165.7842
479,1057.9562
480,2205.1296
481,2940.1728
482,3046.7008
483,3327.6684
484,520.6556
485,2999.429
486,2113.2492
487,942.7728
488,75.2354
489,1581.9408
490,37.9506
491,151.8024
492,3486.1288
493,4262.4516
494,731.0484
495,1398.8458
496,2336.958
497,2348.9424
498,7094.7648
499,1054.6272
500,1298.31
501,2330.3
502,4584.6988
503,527.3136
504,1869.5664
